Client,Company Code,Accounting Document Number,Fiscal Year,Document Type,Document Date in Document,Month,Posting Date in the Document,Day On Which Accounting Document Was Entered,Invoice Document Number,Fiscal Year of Invoice,Date of the Last Document Change by Transaction,Reference Document Number,Accounting Document Key
100,CompanyCode1,1000000056,2022,Documenttype1,2021-12-13,2,2022-02-25,2022-02-25,1000072142,2022,,90630774,10000721422022
100,CompanyCode1,1000000057,2022,Documenttype1,2021-12-23,2,2022-02-25,2022-02-25,1000072169,2022,,90631573,10000721692022
100,CompanyCode1,1000000058,2022,Documenttype1,2021-12-23,2,2022-02-25,2022-02-25,1000072170,2022,,90631574,10000721702022
100,CompanyCode1,1000000059,2022,Documenttype1,2021-11-30,2,2022-02-25,2022-02-25,1000072173,2022,,90630123,10000721732022
100,CompanyCode1,1000000060,2022,Documenttype1,2022-01-24,2,2022-02-25,2022-02-25,1000052662,2022,,260097078,10000526622022
100,CompanyCode1,1000000061,2022,Documenttype1,2022-01-27,2,2022-02-25,2022-02-25,1000052663,2022,,260097079,10000526632022
100,CompanyCode1,1000000062,2022,Documenttype1,2022-02-22,2,2022-02-26,2022-02-26,1000032990,2022,,BY4070CY,10000329902022
100,CompanyCode1,1000000063,2022,Documenttype1,2022-02-14,2,2022-02-28,2022-02-28,1000033020,2022,,INV-0408,10000330202022
100,CompanyCode1,1000000064,2022,Documenttype1,2022-02-22,2,2022-02-28,2022-02-28,1000033027,2022,,161134131,10000330272022
100,CompanyCode1,1000000065,2022,Documenttype1,2022-02-25,2,2022-02-28,2022-02-28,1000033028,2022,2022-03-22,8000154138,10000330282022
100,CompanyCode1,1000000066,2022,Documenttype1,2022-01-11,2,2022-02-28,2022-02-28,1000033033,2022,,196807,10000330332022
100,CompanyCode1,1000000067,2022,Documenttype1,2022-02-15,2,2022-02-28,2022-02-28,1000033042,2022,,197779,10000330422022
100,CompanyCode1,1000000068,2022,Documenttype1,2022-02-22,2,2022-02-28,2022-02-28,1000033043,2022,,197987,10000330432022
